id,Email,Password,name,street,city,state,phone
1,apaulichce@wiley.com,JbasAAym9,Nintendo,5959 Poplar Ave,Memphis,TN,(901) 261-5079
2,rwhatmancf@miibeian.gov.cn,iyV4RuFdmATt,Microsoft Game Studios,2823 Wilma Rudolph Blvd,Clarksville,TN,(931) 645-8007
3,bcaltuncg@whitehouse.gov,sUcGWLFRFdo,Take-Two Interactive,601 Colonial Rd,Memphis,TN,(901) 685-9240
4,jpeoplesch@economist.com,s4FpCqo4Dc,Sony Computer Entertainment,7255 Interstate Dr,Horn Lake,MS,(662) 349-1585
5,ljergci@answers.com,h6QeNU0TXD,Activision,160 American Ave,Bowling Green,KY,(270) 842-0013
6,dmeineckcj@reference.com,6WCTUcn,Ubisoft,170 Promenade Blvd,Flowood,MS,(601) 919-1415
7,fmansourck@creativecommons.org,5gsM1cxN,Bethesda Softworks,6365 I 55 N,Jackson,MS,(601) 956-1150
8,ksabycl@google.ru,EE06GXZgaa,Electronic Arts,3000 E Highland Dr,Jonesboro,AR,(870) 934-9661
9,mmacalpinecm@squarespace.com,IsPaUeuHt,Sega,6143 U S Highway 98,Hattiesburg,MS,(601) 261-5298
10,fjorrycn@dailymail.co.uk,YnS5pW,SquareSoft,5151 Frederica St,Owensboro,KY,(270) 686-7033
11,ppeartreeco@cargocollective.com,4kHTYwEnKv,Atari,1631 Ring Rd,Elizabethtown,KY,(270) 769-6402
12,rohairecp@nifty.com,j66DJn16wx1V,505 Games,3867 Promenade Pkwy,D'iberville,MS,(228) 233-3301
13,btottmancq@tinyurl.com,BGLNpW8Lip,Capcom,69320 Highway 21,Covington,LA,(985) 871-7093
14,arabbattscr@bloglovin.com,yxhIK0,GT Interactive,2030 Hammond Square Dr,Hammond,LA,(985) 277-3203
15,abergeoncs@etsy.com,AXAfG5,Konami Digital Entertainment,4103 Pecanland Mall Dr,Monroe,LA,(318) 361-3781
16,jgeevesct@pcworld.com,BaTTPh,Sony Computer Entertainment Europe,4500 Veterans Memorial Blvd,Metairie,LA,(504) 888-2184
17,vpeartcu@hhs.gov,F4wKSKAQ,Square Enix,1401 W Esplanade Ave,Kenner,LA,(504) 617-4859
18,pgillbeycv@github.io,ESYquTBUp,LucasArts,1731 Manhattan Blvd,Harvey,LA,(504) 227-2014
19,khanselmancw@last.fm,txqOaMFi54X,Virgin Interactive,2001 Millerville Rd,Baton Rouge,LA,(225) 272-4275
20,pfauntcx@netscape.com,xWBIiQJGZ,Warner Bros. Interactive Entertainment,6885 Siegen Ln,Baton Rouge,LA,(225) 293-0984
21,dbilovuscy@shareasale.com,HQre4I,Universal Interactive,6625 E Lloyd Expy,Evansville,IN,(812) 402-8500
22,agliddercz@boston.com,vyOlKXQZ,Eidos Interactive,4000 1st Ave,Evansville,IN,(812) 426-2218
23,rmacrieried0@tripadvisor.com,w65JDIb,RedOctane,202 Siemers Dr,Cape Girardeau,MO,(573) 339-1778
24,cdumbrilld1@hibu.com,csBZla,Vivendi Games,7311 Jefferson Blvd,Louisville,KY,(502) 964-1053
25,fhinemoord2@creativecommons.org,VJu93vrSD,Enix Corporation,3000 W Deyoung St,Marion,IL,(618) 997-8174
26,cespinozad3@wikimedia.org,wrCMP28J,Namco Bandai Games,3600 Mall Rd,Louisville,KY,(502) 456-6768
27,etealed4@google.ru,hDi93tKNGg3i,Palcom,4640 Taylorsville Rd,Louisville,KY,(502) 493-8717
28,osealyd5@npr.org,jP7KhM,Hasbro Interactive,4174 Westport Rd,Louisville,KY,(502) 992-1039
29,caubind6@house.gov,snOlnRK,THQ,2209 State St,New Albany,IN,(812) 945-5046
